NEGATIVE,y
POSITIVE,y
SPECIMEN,y
NOT,y
REFERENCE,y
INADEQUATE,y
REFER,y
LESS,y
DIFFICILE,y
CANCELED,y
CREDITED,y
GREATER,y
REQUESTED,y
PLEASE,y
UNINTERPRETABLE,y
SUBMIT,y
DUPLICATE,y
CORRECTED,y
PREVIOUSLY,y
INSUFFICIENT,y
NO,y
INVALID,y
DONE,y
EQUIVOCAL,y
RESUBMIT,y
NON,y
REACTIVE,y
WESTERN,y
IMPROPER,y
IMMUNE,y
BLOT,y
ELEVATED,y
SUGGESTIVE,y
SEEN,y
LOWEST,y
LOWER,y
LOG,y
ERROR,y
UNABLE,y
TESTED,y
SUFFICIENT,y
APPROPRIATE,y
ACCEPTABLE,y
PERFORM,y
CONFIRMED,y
CHANGED,y
UNINFORMATIVE,y
UNDETERMINED,y
C.DIFFICILE,y
UNIT,y
DISREGARD,y
PYLORI,y
BORDERLINE,y
INCORRECT,y
INCONCLUSIVE,y
INAPPROPRIATE,y
FOUND,y
C.DIFF,y
